"Country Name","Currency Name","Currency Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","Notes"
"Lebanon","lebanese pounds","LBP ","","",1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,"","","",""
"Lesotho","maloti","LSL ","","",10.54,7.56,6.46,6.36,6.77,7.05,8.26,8.47,7.32,7.26,"","","",""
"Liberia","liberian dollar","LRD ","","",61.75,59.38,54.91,57.1,58.01,61.27,63.21,68.29,71.32,72.38,"","","",""
"Libya","libyan dinar","LYD ","","",1.27,1.29,1.3,1.31,1.31,1.26,1.22,1.25,1.27,1.22,"","","",""
"Liechtenstein","swiss franc","CHF","","","","","","","","","","","","","","","",""
"Lithuania","litai","LTL ","","",3.68,3.06,2.78,2.77,2.75,2.52,2.36,2.48,2.61,2.48,"","","",""
"Luxembourg","euro","EUR","","","","","","","","","","","","","","","",""
"Macao SAR  China","pataca","MOP","","",8.03,8.02,8.02,8.01,8,8.04,8.02,7.98,8,8.02,"","","",""
"Macedonia  FYR","macedonian denar","MKD","","",64.35,54.32,49.41,49.28,48.8,44.73,41.87,44.1,46.49,44.23,"","","",""
"Madagascar","malagasy ariary","MGA ","","",1366.39,1238.33,1868.86,2003.03,2142.3,1873.88,1708.37,1956.21,2089.95,2025.12,"","","",""
"Malawi","malawian kwacha","MWK ","","",76.69,97.43,108.9,118.42,136.01,139.96,140.52,141.17,150.49,155.78,"","","",""
"Malaysia","ringgit","MYR ","","",3.8,3.8,3.8,3.79,3.67,3.44,3.34,3.52,3.22,3.06,"","","",""
"Maldives","rufiyaa","MVR ",11.6253,11.7286,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,14.6,14.6,14.6,"",""
"Mali","communaute financiere africaine franc","XAF","","",696.99,581.2,528.28,527.47,522.89,479.27,447.81,472.19,495.28,471.87,"","","",""
"Malta","euro","EUR","","",0.43,0.38,0.34,0.35,0.34,0.31,"","","","","","","",""
"Marshall Islands","us dollar","USD","","","","","","","","","","","","","","","",""
"Mauritania","ouguiya","MRO ","","",271.74,263.03,"",265.53,268.6,258.59,238.2,262.37,275.89,281.12,"","","",""
"Mauritius","mauritian rupee","MUR ","","",29.96,27.9,27.5,29.5,31.71,31.31,28.45,31.96,30.78,28.71,"","","",""
"Mayotte","","EUR","","","","","","","","","","","","","","","",""
"Mexico","mexican peso","MXN ","","",9.66,10.79,11.29,10.9,10.9,10.93,11.13,13.51,12.64,12.42,"","","",""
"Micronesia  Fed. Sts.","us dollar","USD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Moldova","moldovan lei","MDL","","",13.57,13.94,12.33,12.6,13.13,12.14,10.39,11.11,12.37,11.74,"","","",""
"Monaco","euro","EUR","","","","","","","","","","","","","","","",""
"Mongolia","togrog","MNT ","","",1110.31,1146.54,1185.3,1205.25,1179.7,1170.4,1165.8,1437.8,1357.06,1265.52,"","","",""
"Montenegro","euro","EUR","","",1.06,0.89,0.81,0.8,0.8,0.73,0.68,0.72,0.76,0.72,"","","",""
"Morocco","moroccan dirham","MAD ","","",11.02,9.57,8.87,8.87,8.8,8.19,7.75,8.06,8.42,8.09,"","","",""
"Mozambique","meticai","MZN ","","",23.68,23.78,22.58,23.06,25.4,25.84,24.3,27.52,33.96,29.07,"","","",""
"Myanmar","kyat","MMK ","","",6.57,6.08,5.75,5.76,5.78,5.56,5.39,5.52,5.58,5.39,"","","",""
"Namibia","namibian dollar","NAD ","","",10.54,7.56,6.46,6.36,6.77,7.05,8.26,8.47,7.32,7.26,"","","",""
"Nepal","nepalese rupee","NPR ","","",77.88,76.14,73.67,71.37,72.76,66.42,69.76,77.55,73.16,74.02,"","","",""
"Netherlands","euro","EUR","","","","","","","","","","","","","","","",""
"New Caledonia","comptoirs francais du oacifique franc","XPF ","","",126.8,105.73,96.11,95.96,95.12,87.19,"","","","","","","",""
"New Zealand","new zealand dollar","NZD","","",2.16,1.72,1.51,1.42,1.54,1.36,1.42,1.6,1.39,1.27,"","","",""
"Nicaragua","cordoba","NIO ","","",14.25,15.1,15.94,16.73,17.57,18.45,19.37,20.34,21.36,22.42,"","","",""
"Niger","communaute financiere africaine franc","XAF","","",696.99,581.2,528.28,527.47,522.89,479.27,447.81,472.19,495.28,471.87,"","","",""
"Nigeria","naira","NGN ","","",120.58,129.22,132.89,131.27,128.65,125.81,118.55,148.9,150.3,153.9,"","","",""
"Northern Mariana Islands","us dollar","USD","","","","","","","","","","","","","","","",""
"Norway","norwegian kroner","NOK","","",7.98,7.08,6.74,6.44,6.41,5.86,5.64,6.29,6.04,5.6,"","","",""
"Oman","omani rial","OMR ","","",0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,"","","",""
"Pakistan","pakistani rupee","PKR ","","",59.72,57.75,58.26,59.51,60.27,60.74,70.41,81.71,85.19,86.34,"","","",""
"Palau","us dollar","USD","","","","","","","","","","","","","","","",""
"Panama","us dollar","USD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Papua New Guinea","kina","PGK ","","",3.9,3.56,3.22,3.1,3.06,2.97,2.7,2.76,2.72,2.37,"","","",""
"Paraguay","guarani","PYG ","","",5716.26,6424.34,5974.58,6177.96,5635.46,5032.72,4363.24,4965.39,4735.46,4176.07,"","","",""
"Peru","nuevo sol","PEN ","","",3.52,3.48,3.41,3.3,3.27,3.13,2.92,3.01,2.83,2.75,"","","",""
"Philippines","philippine peso","PHP ","","",51.6,54.2,56.04,55.09,51.31,46.15,44.32,47.68,45.11,43.31,"","","",""
"Poland","zlotych","PLN ","","",4.08,3.89,3.66,3.24,3.1,2.77,2.41,3.12,3.02,2.96,"","","",""
"Portugal","euro","EUR","","","","","","","","","","","","","","","",""
"Puerto Rico","us dollar","USD","","","","","","","","","","","","","","","",""
"Qatar","qatari rial","QAR ","","",3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,"","","",""
"Romania","lei","RON ","","",3.31,3.32,3.26,2.91,2.81,2.44,2.52,3.05,3.18,3.05,"","","",""
"Russian Federation","russian ruble","RUB","","",31.35,30.69,28.81,28.28,27.19,25.58,24.85,31.74,30.37,29.38,"","","",""
"Rwanda","rwandan franc","RWF ","","",475.37,537.65,577.45,557.82,551.71,546.96,546.85,568.28,583.13,600.31,"","","",""
"Samoa","tala","WST ","","",3.38,2.97,2.78,2.71,2.78,2.62,2.64,2.73,2.48,2.32,"","","",""
"San Marino","euro","EUR","","",1.06,0.89,0.81,0.8,0.8,0.73,0.68,0.72,0.76,0.72,"","","",""
"Sao Tome and Principe","dobra","STD","","",9088.33,9347.58,9902.32,1557.97,1448.64,1536.76,1695.2,1208.45,1498.6,1624.2,"","","",""
"Saudi Arabia","saudi riyal","SAR ","","",3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,"","","",""
"Senegal","communaute financiere africaine franc","XAF","","",696.99,581.2,528.28,527.47,522.89,479.27,447.81,472.19,495.28,471.87,"","","",""
"Serbia","serbian dinar","RSD ","","",64.4,57.59,58.38,66.71,67.15,58.45,55.72,67.58,77.73,73.33,"","","",""
"Seychelles","seychelles rupee","SCR ","","",5.48,5.4,5.5,5.5,5.52,6.7,9.46,13.61,12.07,12.38,"","","",""
"Sierra Leone","leone","SLL ","","",2099.03,2347.94,2701.3,2889.59,2961.91,2985.19,2981.51,3385.65,3978.09,4230.53,"","","",""
"Singapore","singaporean dollar","SGD","","",1.79,1.74,1.69,1.66,1.59,1.51,1.41,1.45,1.36,1.26,"","","",""
"Sint Maarten (Dutch part)","netherlands antillean guilder","ANG","","","","","","","","","","","","","","","",""
"Slovak Republic","","EUR","","",45.33,36.77,32.26,31.02,29.7,24.69,21.36,"","","","","","",""
"Slovenia","euro","EUR","","",240.25,207.11,192.38,192.71,191.03,"","","","","","","","",""
