CATEGORY,FUNCTION,NAME,idcode,Device Utilization Rate,UseVialsLatency,UseVialsInterval,Latitude,Longitude,PowerOutageFrequencyPerYear,PowerOutageDurationSigma,SiteCostCur,PowerOutageDurationDays,SiteCostPerYear,SiteCostBaseYear,Inventory,Notes
Trader,Distribution,Badapadagaon Market,3070128,1.0,0.0,7.0,20.5589593,85.8716515,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Bhatimunda Market,3070129,1.0,0.0,7.0,20.5342447,86.0236364,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Govindapur Market,3070130,1.0,0.0,7.0,20.5758523,86.0548722,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Bandalo Market,3070131,1.0,0.0,7.0,20.461356,85.528308,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kakhadi Market,3070132,1.0,0.0,7.0,20.5028512,85.7641013,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Mahalapada Market,3070133,1.0,0.0,7.0,20.5023517,85.7435906,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Garudgaon Market,3070134,1.0,0.0,7.0,20.5534758,85.9547235,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Nakhara Market,3070135,1.0,0.0,7.0,20.5614911,85.9476995,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Karanji Market,3070136,1.0,0.0,7.0,20.5496015,85.9751513,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Banto Market,3070137,1.0,0.0,7.0,20.5819596,85.9010613,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Sankarpur Market,3070138,1.0,0.0,7.0,20.5817785,85.8933908,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Bindhanima Market,3070139,1.0,0.0,7.0,20.4488577,85.5071469,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Panchagan Market,3070140,1.0,0.0,7.0,20.4793759,85.5380467,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
