From,To,Seconds,Meters
1070001,3150020,7332,87959
1070001,3150021,6418,75835
1070001,3150022,8484,114321
1070001,3150023,-1,-1
1070001,3150024,8509,112502
1070001,3150025,-1,-1
1070001,3150026,-1,-1
1070001,3150027,9379,121762
1070001,3150028,9247,120916
1070001,3150029,9098,114204
1070001,3150030,-1,-1
1070001,3150031,9457,123685
1070001,3150032,9457,123685
1070001,3150033,-1,-1
1070001,3150034,9457,123685
1070001,3150035,-1,-1
1070001,3150036,8042,104397
1070001,3150037,9919,127486
1070001,3150038,9938,121405
1070001,3150039,9807,120353
1070001,3150040,9668,126412
1070001,3150041,9920,127493
1070001,3150042,9920,127493
1070001,3150043,4758,52156
1070001,3150044,4737,50242
1070001,3150045,7956,87393
1070001,3150046,6056,64372
1070001,3150047,7657,82533
1070001,3150048,7199,79146
1070001,3150049,7605,82301
1070001,3150050,4674,49116
1070001,3150051,5828,60460
1070001,3150012,6895,77164
1070001,3150053,3145,34216
1070001,3150054,5027,55915
1070001,3150055,4973,55267
1070001,3150056,7650,85925
1070001,3150057,3807,41115
1070001,3150058,5784,66837
1070001,3150059,5758,66631
1070001,3150060,5917,64609
1070001,3150061,6082,65824
1070001,3150062,6057,65660
1070001,3150063,6131,66153
1070001,3150064,6081,65821
1070001,3150065,5599,59401
1070001,3150066,5669,59888
1070001,3150067,5759,60536
1070001,3150068,5661,61595
1070001,3150069,6196,70616
1070001,3150070,4660,50639
1070001,3150071,5581,59614
1070001,3150072,6582,73775
1070001,3150073,5508,54583
1070001,3150074,9237,127509
1070001,3150075,9254,127827
