location ID,district,block,gram panchayat,village,display name,latitude,longitude,notes: re location,supply chain level,function,sector,fixed/mobile,operating schedule,hectares under cultivation for potatoes,total population in village
3070094,Cuttack,Niali,Sithalo,Sithalo,"Weekly Market, Sithalo",20.2021156,86.1319245,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,3256
3070095,Cuttack,Nischintakoili,Bandhakatia,Mallikapur,"Weekly Market, Mallikapur",20.4196291,86.2196612,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1782
3070096,Cuttack,Nischintakoili,Janardanpur,Janardanpur,"Weekly Market, Janardanpur",20.454225,86.126335,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1606
3070097,Cuttack,Nischintakoili,Jhadeswarpur,Jhadeswarpur,"Weekly Market, Jhadeswarpur",20.5136281,86.2336343,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1023
3070098,Cuttack,Nischintakoili,Katikata,Paschimakhandabhola,"Weekly Market, Paschimakhandabhola",20.4828045,86.2526823,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1124
3070099,Cuttack,Nischintakoili,Mahammadpur,Mahammadpur,"Weekly Market, Mahammadpur",20.40036,86.26112,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,3974
3070100,Cuttack,Nischintakoili,Manpur,Manapur,"Weekly Market, Manapur",19.8985786,85.4048258,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1515
3070101,Cuttack,Nischintakoili,Narendrapur,Rameswarpur,"Weekly Market, Rameswarpur",20.419313,86.2742614,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1167
3070102,Cuttack,Nischintakoili,Nemala,Maligan,"Weekly Market, Maligan",20.4388359,86.1796262,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1816
3070103,Cuttack,Nischintakoili,Nemala,Nemala,"Weekly Market, Nemala",20.4360527,86.1749083,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1217
3070104,Cuttack,Nischintakoili,Nischintakoili,Nischintakoili,"Weekly Market, Nischintakoili",20.4791011,86.1847117,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2367
3070105,Cuttack,Nischintakoili,Sukarpada,Sukarapada,"Weekly Market, Sukarapada",20.4897213,86.2285536,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,3432
3070106,Cuttack,Nischintakoili,Uttarkul,Muguria,"Weekly Market, Muguria",20.3784265,86.2399844,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,990
3070107,Cuttack,Salepur,Balisahi,Balisahi,"Weekly Market, Balisahi",20.4689668,86.0962783,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,4272
3070108,Cuttack,Salepur,Bhimdaspur,Bhimdaspur,"Weekly Market, Bhimdaspur",20.5430505,86.1172871,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1227
3070109,Cuttack,Salepur,Chandradeipur,Lunahar,"Weekly Market, Lunahar",20.4827769,86.1153776,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,4715
3070110,Cuttack,Salepur,Gopinathpur,Gopinathpur,"Weekly Market, Gopinathpur",20.4685112,85.9457837,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2186
