RouteName,idcode,LocName,Type,RouteOrder,TransitHours,TruckType,ShipIntervalDays,ShipLatencyDays,PullOrderAmountDays,DistanceKM,Conditions,Notes,PickupDelayMagnitude,PickupDelaySigma, PickupDelayFrequency,PerDiemType
r_1070012_3070046,1070012,Potato farms in Salipur tehsil,SchedPush,0,0.7380555555555556,NA,7,NA,NA,22.36,NA,NA,NA,NA,NA,NA
r_1070012_3070046,3070046,Praharajpur Market,SchedPush,1,0.7380555555555556,NA,7,NA,NA,22.36,NA,NA,NA,NA,NA,NA
r_1070007_3070047,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.18833333333333332,NA,7,NA,NA,5.679,NA,NA,NA,NA,NA,NA
r_1070007_3070047,3070047,Adaspur Market,SchedPush,1,0.18833333333333332,NA,7,NA,NA,5.679,NA,NA,NA,NA,NA,NA
r_1070007_3070048,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.33055555555555555,NA,7,NA,NA,9.904,NA,NA,NA,NA,NA,NA
r_1070007_3070048,3070048,Saleibedapur-III Market,SchedPush,1,0.33055555555555555,NA,7,NA,NA,9.904,NA,NA,NA,NA,NA,NA
r_1070007_3070049,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.17277777777777778,NA,7,NA,NA,6.413,NA,NA,NA,NA,NA,NA
r_1070007_3070049,3070049,Badapatasundarpur Market,SchedPush,1,0.17277777777777778,NA,7,NA,NA,6.413,NA,NA,NA,NA,NA,NA
r_1070007_3070050,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.2947222222222222,NA,7,NA,NA,8.247,NA,NA,NA,NA,NA,NA
r_1070007_3070050,3070050,Badakhalagan Market,SchedPush,1,0.2947222222222222,NA,7,NA,NA,8.247,NA,NA,NA,NA,NA,NA
r_1070007_3070051,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.18166666666666667,NA,7,NA,NA,5.615,NA,NA,NA,NA,NA,NA
r_1070007_3070051,3070051,Bagalpur Market,SchedPush,1,0.18166666666666667,NA,7,NA,NA,5.615,NA,NA,NA,NA,NA,NA
r_1070007_3070052,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.21,NA,7,NA,NA,7.301,NA,NA,NA,NA,NA,NA
r_1070007_3070052,3070052,Baghua Market,SchedPush,1,0.21,NA,7,NA,NA,7.301,NA,NA,NA,NA,NA,NA
r_1070007_3070053,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.08444444444444445,NA,7,NA,NA,2.963,NA,NA,NA,NA,NA,NA
r_1070007_3070053,3070053,Deuli Market,SchedPush,1,0.08444444444444445,NA,7,NA,NA,2.963,NA,NA,NA,NA,NA,NA
r_1070007_3070054,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.15638888888888888,NA,7,NA,NA,5.235,NA,NA,NA,NA,NA,NA
r_1070007_3070054,3070054,Sundargram Market,SchedPush,1,0.15638888888888888,NA,7,NA,NA,5.235,NA,NA,NA,NA,NA,NA
r_1070007_3070055,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.26694444444444443,NA,7,NA,NA,9.737,NA,NA,NA,NA,NA,NA
r_1070007_3070055,3070055,Badabil Market,SchedPush,1,0.26694444444444443,NA,7,NA,NA,9.737,NA,NA,NA,NA,NA,NA
r_1070007_3070056,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.32472222222222225,NA,7,NA,NA,10.007,NA,NA,NA,NA,NA,NA
r_1070007_3070056,3070056,Dimiri Market,SchedPush,1,0.32472222222222225,NA,7,NA,NA,10.007,NA,NA,NA,NA,NA,NA
r_1070007_3070057,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.43277777777777776,NA,7,NA,NA,15.306000000000001,NA,NA,NA,NA,NA,NA
r_1070007_3070057,3070057,Balipada Market,SchedPush,1,0.43277777777777776,NA,7,NA,NA,15.306000000000001,NA,NA,NA,NA,NA,NA
r_1070007_3070058,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.4091666666666667,NA,7,NA,NA,14.478,NA,NA,NA,NA,NA,NA
r_1070007_3070058,3070058,Majurai Market,SchedPush,1,0.4091666666666667,NA,7,NA,NA,14.478,NA,NA,NA,NA,NA,NA
r_1070007_3070059,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.39694444444444443,NA,7,NA,NA,14.054,NA,NA,NA,NA,NA,NA
r_1070007_3070059,3070059,Sankhua Market,SchedPush,1,0.39694444444444443,NA,7,NA,NA,14.054,NA,NA,NA,NA,NA,NA
r_1070005_3070060,1070005,Potato farms in Cuttack Sadar tehsil,SchedPush,0,0.10416666666666667,NA,7,NA,NA,1.537,NA,NA,NA,NA,NA,NA
r_1070005_3070060,3070060,Simalda Market,SchedPush,1,0.10416666666666667,NA,7,NA,NA,1.537,NA,NA,NA,NA,NA,NA
r_1070007_3070061,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.021111111111111112,NA,7,NA,NA,0.527,NA,NA,NA,NA,NA,NA
r_1070007_3070061,3070061,Kantapada Market,SchedPush,1,0.021111111111111112,NA,7,NA,NA,0.527,NA,NA,NA,NA,NA,NA
r_1070007_3070062,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.6444444444444445,NA,7,NA,NA,24.028000000000002,NA,NA,NA,NA,NA,NA
r_1070007_3070062,3070062,Nahalpur Market,SchedPush,1,0.6444444444444445,NA,7,NA,NA,24.028000000000002,NA,NA,NA,NA,NA,NA
r_1070007_3070063,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.4036111111111111,NA,7,NA,NA,12.022,NA,NA,NA,NA,NA,NA
r_1070007_3070063,3070063,Babaja Market,SchedPush,1,0.4036111111111111,NA,7,NA,NA,12.022,NA,NA,NA,NA,NA,NA
r_1070007_3070064,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.3913888888888889,NA,7,NA,NA,11.817,NA,NA,NA,NA,NA,NA
r_1070007_3070064,3070064,Uttarana Market,SchedPush,1,0.3913888888888889,NA,7,NA,NA,11.817,NA,NA,NA,NA,NA,NA
r_1070011_3070065,1070011,Potato farms in Nischintakoili tehsil,SchedPush,0,0.395,NA,7,NA,NA,11.904,NA,NA,NA,NA,NA,NA
r_1070011_3070065,3070065,Gobindpur Market,SchedPush,1,0.395,NA,7,NA,NA,11.904,NA,NA,NA,NA,NA,NA
r_1070008_3070066,1070008,Potato farms in Mahanga tehsil,SchedPush,0,0.3377777777777778,NA,7,NA,NA,9.82,NA,NA,NA,NA,NA,NA
r_1070008_3070066,3070066,Sukuapada Market,SchedPush,1,0.3377777777777778,NA,7,NA,NA,9.82,NA,NA,NA,NA,NA,NA
r_1070008_3070067,1070008,Potato farms in Mahanga tehsil,SchedPush,0,0.4519444444444444,NA,7,NA,NA,13.092,NA,NA,NA,NA,NA,NA
r_1070008_3070067,3070067,Haladia Market,SchedPush,1,0.4519444444444444,NA,7,NA,NA,13.092,NA,NA,NA,NA,NA,NA
r_1070008_3070068,1070008,Potato farms in Mahanga tehsil,SchedPush,0,0.1711111111111111,NA,7,NA,NA,6.141,NA,NA,NA,NA,NA,NA
r_1070008_3070068,3070068,Jalasarpur Market,SchedPush,1,0.1711111111111111,NA,7,NA,NA,6.141,NA,NA,NA,NA,NA,NA
r_1070008_3070069,1070008,Potato farms in Mahanga tehsil,SchedPush,0,0.22194444444444444,NA,7,NA,NA,7.6000000000000005,NA,NA,NA,NA,NA,NA
r_1070008_3070069,3070069,Kuhunda Market,SchedPush,1,0.22194444444444444,NA,7,NA,NA,7.6000000000000005,NA,NA,NA,NA,NA,NA
r_1150001_3070070,1150001,Potato farms in Balianta tehsil,SchedPush,0,0.2688888888888889,NA,7,NA,NA,6.6850000000000005,NA,NA,NA,NA,NA,NA
r_1150001_3070070,3070070,Jagannathpur Market,SchedPush,1,0.2688888888888889,NA,7,NA,NA,6.6850000000000005,NA,NA,NA,NA,NA,NA
r_1070008_3070071,1070008,Potato farms in Mahanga tehsil,SchedPush,0,0.0725,NA,7,NA,NA,1.959,NA,NA,NA,NA,NA,NA
r_1070008_3070071,3070071,Parsurampur Market,SchedPush,1,0.0725,NA,7,NA,NA,1.959,NA,NA,NA,NA,NA,NA
r_1070008_3070072,1070008,Potato farms in Mahanga tehsil,SchedPush,0,0.1313888888888889,NA,7,NA,NA,4.289,NA,NA,NA,NA,NA,NA
r_1070008_3070072,3070072,Pallisahi Market,SchedPush,1,0.1313888888888889,NA,7,NA,NA,4.289,NA,NA,NA,NA,NA,NA
r_1070008_3070073,1070008,Potato farms in Mahanga tehsil,SchedPush,0,0.3447222222222222,NA,7,NA,NA,10.026,NA,NA,NA,NA,NA,NA
r_1070008_3070073,3070073,Podamarai Market,SchedPush,1,0.3447222222222222,NA,7,NA,NA,10.026,NA,NA,NA,NA,NA,NA
r_1070009_3070074,1070009,Potato farms in Narasinghpur tehsil,SchedPush,0,0.19777777777777777,NA,7,NA,NA,7.082,NA,NA,NA,NA,NA,NA
r_1070009_3070074,3070074,Barakoli Market,SchedPush,1,0.19777777777777777,NA,7,NA,NA,7.082,NA,NA,NA,NA,NA,NA
r_1070009_3070075,1070009,Potato farms in Narasinghpur tehsil,SchedPush,0,0.3988888888888889,NA,7,NA,NA,15.32,NA,NA,NA,NA,NA,NA
r_1070009_3070075,3070075,Janisahi Market,SchedPush,1,0.3988888888888889,NA,7,NA,NA,15.32,NA,NA,NA,NA,NA,NA
r_1070009_3070076,1070009,Potato farms in Narasinghpur tehsil,SchedPush,0,0.37833333333333335,NA,7,NA,NA,14.417,NA,NA,NA,NA,NA,NA
r_1070009_3070076,3070076,Jayamangalpur(Ka) Market,SchedPush,1,0.37833333333333335,NA,7,NA,NA,14.417,NA,NA,NA,NA,NA,NA
r_1070002_3070077,1070002,Potato farms in Badamba tehsil,SchedPush,0,0.34194444444444444,NA,7,NA,NA,13.863,NA,NA,NA,NA,NA,NA
r_1070002_3070077,3070077,Baselihata Market,SchedPush,1,0.34194444444444444,NA,7,NA,NA,13.863,NA,NA,NA,NA,NA,NA
r_1070002_3070078,1070002,Potato farms in Badamba tehsil,SchedPush,0,0.3927777777777778,NA,7,NA,NA,15.975,NA,NA,NA,NA,NA,NA
r_1070002_3070078,3070078,Mardanpatana Market,SchedPush,1,0.3927777777777778,NA,7,NA,NA,15.975,NA,NA,NA,NA,NA,NA
r_1070009_3070079,1070009,Potato farms in Narasinghpur tehsil,SchedPush,0,0.10916666666666666,NA,7,NA,NA,3.201,NA,NA,NA,NA,NA,NA
r_1070009_3070079,3070079,Harichandanpur Market,SchedPush,1,0.10916666666666666,NA,7,NA,NA,3.201,NA,NA,NA,NA,NA,NA
r_1070007_3070080,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.3502777777777778,NA,7,NA,NA,10.438,NA,NA,NA,NA,NA,NA
r_1070007_3070080,3070080,Anlo-1 Market,SchedPush,1,0.3502777777777778,NA,7,NA,NA,10.438,NA,NA,NA,NA,NA,NA
r_1070010_3070081,1070010,Potato farms in Niali tehsil,SchedPush,0,0.35305555555555557,NA,7,NA,NA,8.548,NA,NA,NA,NA,NA,NA
r_1070010_3070081,3070081,Barimundei Market,SchedPush,1,0.35305555555555557,NA,7,NA,NA,8.548,NA,NA,NA,NA,NA,NA
r_1070010_3070082,1070010,Potato farms in Niali tehsil,SchedPush,0,0.22333333333333333,NA,7,NA,NA,6.091,NA,NA,NA,NA,NA,NA
r_1070010_3070082,3070082,Bilasuni Market,SchedPush,1,0.22333333333333333,NA,7,NA,NA,6.091,NA,NA,NA,NA,NA,NA
r_1070007_3070083,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.41388888888888886,NA,7,NA,NA,12.290000000000001,NA,NA,NA,NA,NA,NA
r_1070007_3070083,3070083,Erancha Market,SchedPush,1,0.41388888888888886,NA,7,NA,NA,12.290000000000001,NA,NA,NA,NA,NA,NA
r_1070007_3070084,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.45055555555555554,NA,7,NA,NA,13.918000000000001,NA,NA,NA,NA,NA,NA
r_1070007_3070084,3070084,Kasarada Market,SchedPush,1,0.45055555555555554,NA,7,NA,NA,13.918000000000001,NA,NA,NA,NA,NA,NA
r_1070007_3070085,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.3883333333333333,NA,7,NA,NA,12.113,NA,NA,NA,NA,NA,NA
r_1070007_3070085,3070085,Patrakana Market,SchedPush,1,0.3883333333333333,NA,7,NA,NA,12.113,NA,NA,NA,NA,NA,NA
r_1070010_3070086,1070010,Potato farms in Niali tehsil,SchedPush,0,0.4088888888888889,NA,7,NA,NA,12.006,NA,NA,NA,NA,NA,NA
r_1070010_3070086,3070086,Nuasatanga Market,SchedPush,1,0.4088888888888889,NA,7,NA,NA,12.006,NA,NA,NA,NA,NA,NA
r_1070010_3070087,1070010,Potato farms in Niali tehsil,SchedPush,0,0.5913888888888889,NA,7,NA,NA,17.446,NA,NA,NA,NA,NA,NA
r_1070010_3070087,3070087,Purunasatanga Market,SchedPush,1,0.5913888888888889,NA,7,NA,NA,17.446,NA,NA,NA,NA,NA,NA
r_1070010_3070088,1070010,Potato farms in Niali tehsil,SchedPush,0,0.30694444444444446,NA,7,NA,NA,9.985,NA,NA,NA,NA,NA,NA
r_1070010_3070088,3070088,Madhaba Market,SchedPush,1,0.30694444444444446,NA,7,NA,NA,9.985,NA,NA,NA,NA,NA,NA
r_1070010_3070089,1070010,Potato farms in Niali tehsil,SchedPush,0,0.07305555555555555,NA,7,NA,NA,1.552,NA,NA,NA,NA,NA,NA
r_1070010_3070089,3070089,Niali Market,SchedPush,1,0.07305555555555555,NA,7,NA,NA,1.552,NA,NA,NA,NA,NA,NA
r_1070010_3070090,1070010,Potato farms in Niali tehsil,SchedPush,0,0.09583333333333334,NA,7,NA,NA,2.1270000000000002,NA,NA,NA,NA,NA,NA
r_1070010_3070090,3070090,Pubakhanda Market,SchedPush,1,0.09583333333333334,NA,7,NA,NA,2.1270000000000002,NA,NA,NA,NA,NA,NA
