Make,Model,DisplayName,Year,Energy,freezer,cooler,roomtemperature,Name,ClassName,ColdLifetime,AlarmDays,SnoozeDays,Notes,
Dulas,VC-150 F,VC-150 F,YearUnk,S,24,85,,Std_VC-150F_S,Fridge,,,,,
Electrolux,TFW 800,TFW 800,YearUnk,E,145,0,,Std_TFW800_E,ElectricFridge,,,,,
Vestfrost,MK 204,MK 204,YearUnk,E,0,63,,Std_MK204_E,ElectricFridge,,,,,
Vestfrost,MK 304,MK 304,YearUnk,E,0,108,,Std_MK304_E,ElectricFridge,,,,,
TATA BP Solar,TBP VR 50,TBP VR 50,YearUnk,S,5,18,,Std_TBPVR50_S,Fridge,,,,,
Sibir,V 170 GE,V 170 GE,YearUnk,GE,36,55,,Std_V170GE_GE,Fridge,,,,,
Sibir,V 170 EK,V 170 EK,YearUnk,KE,36,55,,Std_V170EK_KE,ElectricFridge,,,,,
Sibir,V 110 GE,V 110 GE,YearUnk,GE,15,17,,Std_V110GE_GE,Fridge,,,,,
Sibir,V 110 KE,V 110 KE,YearUnk,KE,15,17,,Std_V110KE_KE,ElectricFridge,,,,,
Electrolux,RCW 50 EG/CF,RCW 50 EG/CF,YearUnk,GE,0,24,,Std_RCW50EGCF_GE,Fridge,,,,,
